Drug,CYP***,Action,Species,Database,DrugID,Gene,Reference,Strength
Theophylline,CYP1A1,"substrate, inhibitor",Not Specified,DrugBank,DB00277,,,
Gefitinib,CYP1A1,"substrate, inhibitor",Not Specified,DrugBank,DB00317,,,
Melatonin,CYP1A1,"substrate, inhibitor",Not Specified,DrugBank,DB01065,,,
Resveratrol,CYP1A1,"substrate, inhibitor",Not Specified,DrugBank,DB02709,,,
Menadione,CYP1A1,"substrate, inducer",Not Specified,DrugBank,DB00170,,,
Nicotine,CYP1A1,"substrate, inducer",Not Specified,DrugBank,DB00184,,,
Troglitazone,CYP1A1,substrate,Not Specified,DrugBank,DB00197,,,
Acetaminophen,CYP1A1,substrate,Not Specified,DrugBank,DB00316,,,
Chlorzoxazone,CYP1A1,substrate,Not Specified,DrugBank,DB00356,,,
Progesterone,CYP1A1,substrate,Not Specified,DrugBank,DB00396,,,
Prazosin,CYP1A1,substrate,Not Specified,DrugBank,DB00457,,,
Dronabinol,CYP1A1,substrate,Not Specified,DrugBank,DB00470,,,
Flutamide,CYP1A1,substrate,Not Specified,DrugBank,DB00499,,,
Haloperidol,CYP1A1,substrate,Not Specified,DrugBank,DB00502,,,
Oxaliplatin,CYP1A1,substrate,Not Specified,DrugBank,DB00526,,,
Erlotinib,CYP1A1,substrate,Not Specified,DrugBank,DB00530,,,
Toremifene,CYP1A1,substrate,Not Specified,DrugBank,DB00539,,,
Cinnarizine,CYP1A1,substrate,Not Specified,DrugBank,DB00568,,,
Clonidine,CYP1A1,substrate,Not Specified,DrugBank,DB00575,,,
Diclofenac,CYP1A1,substrate,Not Specified,DrugBank,DB00586,,,
Chloroquine,CYP1A1,substrate,Not Specified,DrugBank,DB00608,,,
Amodiaquine,CYP1A1,substrate,Not Specified,DrugBank,DB00613,,,
Testosterone,CYP1A1,substrate,Not Specified,DrugBank,DB00624,,,
Estrone,CYP1A1,substrate,Not Specified,DrugBank,DB00655,,,
Tamoxifen,CYP1A1,substrate,Not Specified,DrugBank,DB00675,,,
Warfarin,CYP1A1,substrate,Not Specified,DrugBank,DB00682,,,
Daunorubicin,CYP1A1,substrate,Not Specified,DrugBank,DB00694,,,
Pentamidine,CYP1A1,substrate,Not Specified,DrugBank,DB00738,,,
Riluzole,CYP1A1,substrate,Not Specified,DrugBank,DB00740,,,
Tretinoin,CYP1A1,substrate,Not Specified,DrugBank,DB00755,,,
Estradiol,CYP1A1,substrate,Not Specified,DrugBank,DB00783,,,
Dacarbazine,CYP1A1,substrate,Not Specified,DrugBank,DB00851,,,
Granisetron,CYP1A1,substrate,Not Specified,DrugBank,DB00889,,,
Azelastine,CYP1A1,substrate,Not Specified,DrugBank,DB00972,,,
Thalidomide,CYP1A1,substrate,Not Specified,DrugBank,DB01041,,,
Fluvastatin,CYP1A1,substrate,Not Specified,DrugBank,DB01095,,,
Amiodarone,CYP1A1,substrate,Not Specified,DrugBank,DB01118,,,
Carvedilol,CYP1A1,substrate,Not Specified,DrugBank,DB01136,,,
Dasatinib,CYP1A1,substrate,Not Specified,DrugBank,DB01254,,,
Clenbuterol,CYP1A1,substrate,Not Specified,DrugBank,DB01407,,,
Phenacetin,CYP1A1,substrate,Not Specified,DrugBank,DB03783,,,
Debrisoquin,CYP1A1,substrate,Not Specified,DrugBank,DB04840,,,
Flunarizine,CYP1A1,substrate,Not Specified,DrugBank,DB04841,,,
Lorcaserin,CYP1A1,substrate,Not Specified,DrugBank,DB04871,,,
Tesmilifene,CYP1A1,substrate,Not Specified,DrugBank,DB04905,,,
Banoxantrone,CYP1A1,substrate,Not Specified,DrugBank,DB04975,,,
Dapagliflozin,CYP1A1,substrate,Not Specified,DrugBank,DB06292,,,
Vitamin A,CYP1A1,"inhibitor, inducer",Not Specified,DrugBank,DB00162,,,
Quinine,CYP1A1,"inhibitor, inducer",Not Specified,DrugBank,DB00468,,,
Ketoconazole,CYP1A1,"inhibitor, inducer",Not Specified,DrugBank,DB01026,,,
Dexamethasone,CYP1A1,"inhibitor, inducer",Not Specified,DrugBank,DB01234,,,
Ellagic Acid,CYP1A1,"inhibitor, inducer",Not Specified,DrugBank,DB08846,,,
Pyridoxine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00165,,,
Cholecalciferol,CYP1A1,inhibitor,Not Specified,DrugBank,DB00169,,,
Fluvoxamine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00176,,,
Bortezomib,CYP1A1,inhibitor,Not Specified,DrugBank,DB00188,,,
Caffeine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00201,,,
Sildenafil,CYP1A1,inhibitor,Not Specified,DrugBank,DB00203,,,
Ticlopidine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00208,,,
Nitroprusside,CYP1A1,inhibitor,Not Specified,DrugBank,DB00325,,,
Amlodipine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00381,,,
Methoxsalen,CYP1A1,inhibitor,Not Specified,DrugBank,DB00553,,,
Propranolol,CYP1A1,inhibitor,Not Specified,DrugBank,DB00571,,,
Sulindac,CYP1A1,inhibitor,Not Specified,DrugBank,DB00605,,,
Dexmedetomidine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00633,,,
Propofol,CYP1A1,inhibitor,Not Specified,DrugBank,DB00818,,,
Ethanol,CYP1A1,inhibitor,Not Specified,DrugBank,DB00898,,,
Quinidine,CYP1A1,inhibitor,Not Specified,DrugBank,DB00908,,,
Clobetasol propionate,CYP1A1,inhibitor,Not Specified,DrugBank,DB01013,,,
Norfloxacin,CYP1A1,inhibitor,Not Specified,DrugBank,DB01059,,,
